region,store_id,category,product,week,units_sold,revenue,revenue_last_year
South,125,Home,Cushion,42,12,159.96,171.98
Central,103,Home,Cushion,33,54,502.74,504.53
South,105,Apparel,Jeans,36,108,1274.4,1396.51
Central,103,Apparel,Socks,37,149,7542.38,10433.97
Central,108,Apparel,T-Shirt,19,107,2310.13,1807.57
Central,111,Home,Lamp,7,148,10462.12,8699.35
Central,104,Apparel,Jeans,37,15,1142.85,1197.12
West,120,Electronics,Earbuds,30,149,16568.8,15791.85
South,115,Apparel,Socks,6,147,5810.91,6081.59
West,118,Home,Cushion,39,18,334.44,331.99
South,131,Home,Cushion,27,10,1156.3,872.24
Central,120,Electronics,Earbuds,22,177,8012.79,8394.78
North,105,Home,Towel,18,121,10304.36,7681.9
East,136,Electronics,Webcam,44,114,4301.22,4172.42
East,101,Electronics,Speaker,30,90,2189.7,1712.27
South,118,Apparel,T-Shirt,9,189,6327.72,6161.08
North,110,Home,Towel,29,102,6955.38,9169.76
Central,117,Home,Mug,46,106,12554.64,14788.19
South,109,Home,Mug,6,45,1008.0,1170.25
West,137,Apparel,T-Shirt,12,67,2507.14,2010.66
East,139,Electronics,Earbuds,37,81,9283.41,10985.48
Central,103,Electronics,Earbuds,30,199,22779.53,26797.9
West,125,Electronics,Earbuds,26,100,1691.0,1934.51
South,104,Apparel,T-Shirt,14,112,2649.92,2485.72
North,100,Apparel,T-Shirt,37,38,2534.98,3458.38
North,104,Electronics,Charger,14,157,7578.39,8670.34
Central,123,Home,Cushion,31,31,566.37,589.96
West,130,Home,Towel,20,21,452.97,554.78
East,130,Electronics,Webcam,45,41,2639.58,2226.88
East,109,Electronics,Earbuds,45,139,15308.07,18839.64
North,116,Home,Lamp,34,93,10178.85,9659.6
Central,134,Apparel,Socks,50,128,5492.48,4702.27
South,125,Apparel,Socks,48,58,1623.42,1696.39
North,101,Electronics,Webcam,51,71,4211.01,3518.52
East,128,Electronics,Charger,52,185,21944.7,30031.33
North,114,Home,Cushion,7,58,3425.48,3207.68
Central,139,Home,Towel,1,122,13366.32,12575.1
North,107,Electronics,Speaker,25,200,17364.0,14577.49
West,140,Apparel,Jacket,22,22,2135.98,2947.99
West,125,Home,Mug,48,21,1855.35,1519.54
North,109,Apparel,Jacket,38,119,11632.25,9332.81
West,122,Electronics,Charger,10,140,9527.0,6811.59
North,133,Electronics,Webcam,48,35,1921.15,2517.13
North,116,Apparel,Socks,14,74,4634.62,5721.79
East,134,Home,Cushion,27,33,396.0,482.31
Central,133,Home,Towel,27,128,2565.12,2068.22
North,128,Electronics,Earbuds,50,46,3449.08,4287.99
South,109,Apparel,Jacket,31,158,13967.2,15217.72
Central,133,Home,Cushion,36,123,11708.37,9065.52
North,115,Electronics,Earbuds,13,70,689.5,529.83
Central,101,Home,Towel,49,16,895.52,1010.84
Central,132,Electronics,Earbuds,13,177,6527.76,6891.42
Central,115,Home,Towel,45,133,14071.4,19130.44
Central,112,Home,Lamp,29,35,1851.85,1804.91
North,115,Home,Cushion,28,18,530.28,483.59
South,123,Apparel,Jeans,10,64,6817.92,9390.19
North,125,Apparel,Socks,32,41,4872.44,6249.93
West,132,Apparel,Jacket,26,86,4596.7,4365.17
East,101,Apparel,Jeans,22,141,8142.75,9707.84
East,133,Home,Mug,40,75,4793.25,3570.99
North,105,Apparel,Socks,17,69,658.95,820.59
South,127,Home,Lamp,44,66,3410.88,3668.81
Central,131,Electronics,Earbuds,45,83,1269.07,939.45
South,127,Electronics,Webcam,5,68,7677.88,8784.32
North,138,Home,Lamp,15,17,601.97,472.65
East,135,Apparel,T-Shirt,27,68,5202.0,3798.73
South,107,Electronics,Webcam,11,67,722.93,608.16
East,133,Home,Lamp,49,52,1994.2,2094.03
East,122,Apparel,Jacket,52,4,477.48,346.59
Central,135,Apparel,T-Shirt,13,131,7807.6,10573.44
West,131,Apparel,Jeans,35,100,11659.0,10673.21
South,121,Apparel,Socks,13,180,15987.6,12754.96
North,108,Home,Cushion,1,18,1384.74,1822.18
South,103,Home,Mug,6,170,17297.5,22648.94
East,138,Electronics,Speaker,16,177,6849.9,6997.97
East,128,Apparel,Jacket,1,67,3140.96,2921.87
East,115,Electronics,Earbuds,3,79,2373.95,1965.8
West,105,Home,Cushion,31,71,4460.22,3749.64
North,105,Electronics,Earbuds,17,22,473.88,526.37
North,119,Home,Mug,20,161,5114.97,5677.15
South,138,Electronics,Earbuds,25,195,8289.45,11516.62
East,139,Apparel,Jacket,42,37,371.48,477.24
West,132,Electronics,Earbuds,9,134,12271.72,13473.56
Central,114,Apparel,T-Shirt,6,7,68.67,78.69
West,128,Apparel,Jeans,36,12,926.28,1054.44
South,131,Electronics,Speaker,17,0,0.0,0.0
Central,105,Electronics,Earbuds,43,134,1688.4,2052.68
North,116,Home,Lamp,16,186,17110.14,14740.65
West,131,Electronics,Speaker,25,19,1141.71,1345.61
Central,140,Apparel,T-Shirt,42,50,695.5,558.62
East,139,Home,Lamp,37,34,218.62,162.32
North,113,Home,Lamp,44,125,4806.25,5102.19
West,129,Home,Towel,50,30,3576.9,3878.62
North,130,Home,Lamp,2,74,4275.72,5446.96
East,124,Home,Towel,14,53,719.74,549.31
Central,116,Electronics,Webcam,24,33,2454.87,2803.87
North,123,Home,Lamp,15,127,13746.48,14300.44
South,100,Apparel,T-Shirt,32,174,9890.16,9013.55
West,122,Apparel,Jacket,25,80,1512.0,1409.07
East,125,Home,Cushion,8,50,4350.0,5790.27
East,123,Home,Lamp,5,100,4987.0,6527.89
East,127,Apparel,Jeans,49,70,7226.8,6478.44
East,140,Apparel,T-Shirt,10,63,7350.21,7389.67
South,123,Home,Cushion,51,109,11629.21,14750.18
West,135,Electronics,Speaker,36,52,4563.0,3352.13
West,128,Electronics,Webcam,40,192,4020.48,5261.34
North,135,Home,Towel,9,43,2549.9,2398.34
East,116,Home,Lamp,26,167,5419.15,5626.31
West,107,Electronics,Speaker,11,164,3868.76,3271.08
Central,114,Home,Towel,29,85,10165.15,10317.35
Central,112,Apparel,Jacket,16,23,577.07,628.49
South,123,Home,Cushion,17,145,4096.25,2924.96
West,126,Home,Mug,48,134,3906.1,3473.18
West,117,Apparel,T-Shirt,37,92,1792.16,1886.03
South,105,Electronics,Speaker,18,63,3100.86,3572.36
East,101,Home,Mug,9,8,431.2,532.35
Central,131,Home,Towel,1,18,900.36,1214.39
